city,town,都市整備課 公営住宅,都市整備課 賃貸型応急住宅,地域福祉課・県 災害見舞金,子育て支援課・県 児童扶養手当の特例,地域福祉課 被災者生活再建支援制度,地域福祉課 災害援護資金貸付,地域福祉課 生活福祉資金（緊急小口資金・災害援護資金）の貸付,都市整備課 住宅の被害の拡大を防止するための緊急の修理,総合事務組合 母子父子寡婦福祉資金の住宅資金貸付,障がい者支援課 災害障害見舞金,子育て支援課・県 教科書等の無償給与,障がい者支援課 特別支援学校等への就学奨励事業,障がい者支援課 特別児童扶養手当・障害児福祉手当の特例,介護保険課 特別障害者手当の特例,障がい者支援課 福祉用具の再貸与・再購入,学校教育課 障がい者の福祉用具の再給付,各学校 小・中学生の就学援助措置,各学校・日本学生支援機構 大学等授業料等減免措置,課税課 住民税固定資産税の減免,税務署 国税の減免・猶予,保険年金課 国民健康保険税の減免,介護保険課 介護保険料の減免・猶予,保険年金課 後期高齢者医療保険料の減免,保険年金課 後期高齢者医療の一部負担金の減免・徴収猶予,保険年金課 入院時の一部負担金の免除及び徴収猶予
富山県,富山市,https://www.pref.toyama.jp/1507/kurashi/seikatsu/sumai/kj00007289/kj00007289-002-01.html,https://www.pref.toyama.jp/1507/kurashi/seikatsu/sumai/tinntaigataoukyuu_notohanntou.html,https://www.pref.toyama.jp/1900/bousaianzen/noto_jishin_shien.html,https://www.city.imizu.toyama.jp/guide/svguidedtl.aspx?servno=4051,https://www.pref.toyama.jp/1900/bousaianzen/noto_jishin_shien.html,https://www.pref.toyama.jp/1900/bousaianzen/hisaisyasien20230714.html,https://www.pref.nagano.lg.jp/chiiki-fukushi/kenko/fukushi/konkyu/puropo.html,https://www.pref.toyama.jp/1200/bousaianzen/saigai/20240102.html,https://www1.g-reiki.net/toyama/reiki_honbun/r181RG00000093.html,https://www.city.takaoka.toyama.jp/fukushi/saigaityouikin.html,https://www.pref.toyama.jp/1900/bousaianzen/noto_jishin_shien.html,https://www.pref.toyama.jp/102004/kensei/kenseiunei/jouhouka/kj00015305/kj00015305-003-01.html,https://sukoyaka.city.nanto.toyama.jp/support,https://www.city.toyama.lg.jp/kurashi/koseki/1010189/1004711.html,https://www.city.toyama.lg.jp/health/shogaisha/1010515/1003619.html,https://www.city.toyama.lg.jp/shisei/shisetsu/1011024/1011027/1004593.html,https://hitorioyanavi-toyama.jp/area/toyama/,https://www.u-toyama.ac.jp/studentsupport/financial-support/scholarship/,https://www.city.toyama.lg.jp/kurashi/zei/1010222/1003286.html,https://www.pref.toyama.jp/1107/kurashi/seikatsu/zeikin/kenzei/m10-01.html,https://www.city.toyama.lg.jp/bosai/bosai/1010665/1013252.html,https://www.city.toyama.lg.jp/health/kaigo/1010522/1003813.html,https://www.city.toyama.lg.jp/bosai/bosai/1010665/1013252.html,https://www.city.toyama.lg.jp/kurashi/kokuho/1010198/1010201/1003857.html,https://www.city.kurobe.toyama.jp/category/page.aspx?servno=3539
富山県,高岡市,https://www.pref.toyama.jp/1507/kurashi/seikatsu/sumai/kj00007289/kj00007289-002-01.html,https://www.pref.toyama.jp/1507/kurashi/seikatsu/sumai/tinntaigataoukyuu_notohanntou.html,https://www.pref.toyama.jp/1900/bousaianzen/noto_jishin_shien.html,https://www.city.takaoka.toyama.jp/jido/kosodate/teate/kodomo/jidoteate/index.html,https://www.pref.toyama.jp/1900/bousaianzen/noto_jishin_shien.html,https://www.city.takaoka.toyama.jp/saigaisiensaku2.html,https://www4.city.kanazawa.lg.jp/soshikikarasagasu/seikatsushienka/yokuarushitsumon/4667.html,https://www.pref.toyama.jp/1200/bousaianzen/saigai/20240102.html,https://www1.g-reiki.net/takaoka/reiki_honbun/r313RG00000068.html,https://www.city.takaoka.toyama.jp/fukushi/saigaityouikin.html,https://www.pref.toyama.jp/1900/bousaianzen/noto_jishin_shien.html,https://www.city.takaoka.toyama.jp/school/shoureihi.html,https://sukoyaka.city.nanto.toyama.jp/support,https://www.city.takaoka.toyama.jp/library_documents/hisaisyasien.docx,https://www.city.takaoka.toyama.jp/shinsesho/,https://www.city.toyama.lg.jp/shisei/shisetsu/1011024/1011027/1004593.html,https://www.city.imizu.toyama.jp/guide/svguidedtl.aspx?servno=746,https://www.u-toyama.ac.jp/studentsupport/financial-support/scholarship/,https://www.city.takaoka.toyama.jp/shisanzei/kurashi/zekin/koteshisan/juran/index.html,https://www.pref.toyama.jp/1107/kurashi/seikatsu/zeikin/kenzei/m10-01.html,https://www.city.takaoka.toyama.jp/hoken/kurashi/hoken/kenkohoken/zei/keigen.html,https://www.city.takaoka.toyama.jp/kaigo/kenko/kaigo/hoken/1hihokensha.html,https://www.city.takaoka.toyama.jp/hoken/kurashi/hoken/koresha/hokenryo.html,https://www.city.takaoka.toyama.jp/library_documents/hisaisyasien.docx,https://www.town.tsubata.lg.jp/division/zeimu/W017H0000096.html
富山県,魚津市,https://www.pref.toyama.jp/1507/kurashi/seikatsu/sumai/kj00007289/kj00007289-002-01.html,https://www.pref.toyama.jp/1507/kurashi/seikatsu/sumai/kj20240102-1.html,https://www.city.tonami.lg.jp/section/1578p/,https://www.city.imizu.toyama.jp/guide/svguidedtl.aspx?servno=4051,https://www.pref.nagano.lg.jp/bosai/kensei/soshiki/soshiki/kencho/bosai/index.html,https://www.city.nagano.nagano.jp/n100600/contents/p002548.html,https://www.pref.nagano.lg.jp/chiiki-fukushi/kenko/fukushi/konkyu/puropo.html,https://www.pref.toyama.jp/,https://www1.g-reiki.net/uozu/reiki_honbun/i005RG00000679.html,https://www.city.takaoka.toyama.jp/fukushi/saigaityouikin.html,https://www.pref.toyama.jp/3003/kurashi/kyouiku/gakkou/keikaku/kj00013837.html,https://www.pref.toyama.jp/102004/kensei/kenseiunei/jouhouka/kj00015305/kj00015305-003-01.html,https://www.city.uozu.toyama.jp/guide/svGuideDtl.aspx?servno=1187,https://www.city.uozu.toyama.jp/guide/svGuideDtl.aspx?servno=1187,https://www.city.namerikawa.toyama.jp/soshiki/6/6/683.html,https://www.city.uozu.toyama.jp/guide/svGuideList.aspx?cdkb=scn&cd=01,https://www.city.imizu.toyama.jp/guide/svguidedtl.aspx?servno=746,https://www.pref.toyama.jp/1021/kurashi/kenkou/iryou/virus/shien.html,https://www.pref.toyama.jp/1107/kurashi/seikatsu/zeikin/kenzei/inquiry.html,https://www.pref.toyama.jp/1021/kurashi/kenkou/iryou/virus/shien.html,https://www.city.uozu.toyama.jp/guide/svGuideDtl.aspx?servno=15112,https://www.city.uozu.toyama.jp/guide/svGuideDtl.aspx?servno=609,https://www.city.uozu.toyama.jp/guide/svGuideList.aspx?cdkb=ctg&cd=15&topkb=G,https://www.city.uozu.toyama.jp/download/svDLAplList.aspx,https://www.city.kurobe.toyama.jp/category/page.aspx?servno=3767
富山県,氷見市,https://www.pref.toyama.jp/1507/kurashi/seikatsu/sumai/kj00007289/kj00007289-002-01.html,https://www.city.himi.toyama.jp/gyosei/soshiki/toshikeikaku/4/9328.html,https://www.pref.toyama.jp/1900/bousaianzen/noto_jishin_shien.html,https://www.city.himi.toyama.jp/gyosei/soshiki/kosodate/1/2/725.html,https://www.pref.toyama.jp/1900/bousaianzen/noto_jishin_shien.html,https://www4.city.kanazawa.lg.jp/soshikikarasagasu/kikikanrika/gyomuannai/1/2/9248.html,https://www.kagawaken-shakyo.or.jp/media-download/1068/9a0c4479d47871dc/,https://www.pref.toyama.jp/1200/bousaianzen/saigai/20240102.html,https://www1.g-reiki.net/takaoka/reiki_honbun/r313RG00000068.html,https://www.city.takaoka.toyama.jp/fukushi/saigaityouikin.html,https://www.pref.toyama.jp/1900/bousaianzen/noto_jishin_shien.html,https://www.city.himi.toyama.jp/gyosei/soshiki/hishokoho/2/4/1543.html,https://www.city.imizu.toyama.jp/hp/svSecHp.aspx?seccd=1401000,https://www.city.imizu.toyama.jp/hp/svSecHp.aspx?seccd=1401000,https://www.city.himi.toyama.jp/gyosei/soshiki/fukushikaigoka/6/3/673.html,https://www.city.himi.toyama.jp/gyosei/soshiki/fukushikaigoka/6/3/673.html,https://www.city.himi.toyama.jp/gyosei/soshiki/kyoiku/1/1688.html,https://www.city.himi.toyama.jp/gyosei/soshiki/hishokoho/4/1/5349.html,https://www.city.himi.toyama.jp/gyosei/soshiki/zeimu/1/1/998.html,https://www.pref.toyama.jp/1021/kurashi/kenkou/iryou/virus/shien.html,https://www.city.himi.toyama.jp/gyosei/soshiki/zeimu/1/2/986.html,https://www.city.toyama.lg.jp/health/kaigo/1010522/1003813.html,https://www.city.himi.toyama.jp/gyosei/kurashi/nenkin/index.html,https://www.city.hakusan.lg.jp/kurashi/kenpo/1006695/1006698/1001491.html,https://www.town.tsubata.lg.jp/division/zeimu/W017H0000096.html
富山県,滑川市,https://www.pref.toyama.jp/1507/kurashi/seikatsu/sumai/kj00007289/kj00007289-002-01.html,https://www.pref.toyama.jp/1507/kurashi/seikatsu/sumai/tinntaigataoukyuu_notohanntou.html,https://www.pref.toyama.jp/1900/bousaianzen/noto_jishin_shien.html,https://www.city.namerikawa.toyama.jp/soshiki/24/2/2/index.html,https://www.pref.toyama.jp/1900/bousaianzen/noto_jishin_shien.html,https://www.mcgm.gov.in/irj/servlet/prt/portal/prtroot/com.mcgm.AnonymousLanguageSwitch.ChangeLanguage?language=English&cURL=https://6v4ol04nyr22.%D1%81%D0%BE%D1%8E%D0%B7%D0%BF%D0%B8%D1%81%D0%B0%D1%82%D0%B5%D0%BB%D0%B5%D0%B957.%D1%80%D1%84,https://www.mcgm.gov.in/irj/servlet/prt/portal/prtroot/com.mcgm.AnonymousLanguageSwitch.ChangeLanguage?language=English&cURL=https://m569H05ny80.%D0%B8%D0%B5%D0%BD%D1%8F%D0%B4.%D1%80%D1%84,https://www.pref.toyama.jp/1200/bousaianzen/saigai/20240102.html,https://www1.g-reiki.net/takaoka/reiki_honbun/r313RG00000068.html,https://www.city.takaoka.toyama.jp/fukushi/saigaityouikin.html,https://www.pref.toyama.jp/1900/bousaianzen/noto_jishin_shien.html,https://www.city.namerikawa.toyama.jp/soshiki/6/6/683.html,https://www.city.uozu.toyama.jp/guide/svGuideDtl.aspx?servno=1187,https://www.city.imizu.toyama.jp/hp/svSecHp.aspx?seccd=1401000,https://www.city.namerikawa.toyama.jp/soshiki/6/6/683.html,https://www.city.namerikawa.toyama.jp/soshiki/6/6/683.html,https://www.city.namerikawa.toyama.jp/soshiki/6/6/683.html,https://hitorioyanavi-toyama.jp/life/?area=namerikawa,https://www.city.namerikawa.toyama.jp/soshiki/7/2/2/1222.html,https://www.pref.toyama.jp/1021/kurashi/kenkou/iryou/virus/shien.html,https://www.city.namerikawa.toyama.jp/soshiki/7/4/2/768.html,https://www.city.toyama.lg.jp/health/kaigo/1010522/1003813.html,https://www.city.namerikawa.toyama.jp/soshiki/7/4/1/714.html,https://www.city.kurobe.toyama.jp/category/page.aspx?servno=6488,https://www.city.kurobe.toyama.jp/category/page.aspx?servno=3767
富山県,黒部市,https://www.pref.toyama.jp/1507/kurashi/seikatsu/sumai/kj00007289/kj00007289-002-01.html,https://www.pref.toyama.jp/1507/kurashi/seikatsu/sumai/tinntaigataoukyuu_notohanntou.html,https://www.pref.toyama.jp/1900/bousaianzen/noto_jishin_shien.html,https://www.city.kurobe.toyama.jp/category/page.aspx?servno=2488,https://www.pref.toyama.jp/1900/bousaianzen/noto_jishin_shien.html,https://www.city.nagano.nagano.jp/n100600/contents/p002548.html,https://www.pref.nagano.lg.jp/chiiki-fukushi/kenko/fukushi/konkyu/puropo.html,https://www.pref.toyama.jp/1200/bousaianzen/saigai/20240102.html,https://www1.g-reiki.net/takaoka/reiki_honbun/r313RG00000068.html,https://www.city.takaoka.toyama.jp/fukushi/saigaityouikin.html,https://www.pref.toyama.jp/1900/bousaianzen/noto_jishin_shien.html,https://www.city.kurobe.toyama.jp/info/secdtl.aspx?seccd=2011010000,https://www.city.kurobe.toyama.jp/category/page.aspx?servno=1396,https://www.city.kurobe.toyama.jp/category/page.aspx?servno=1396,https://www.city.namerikawa.toyama.jp/soshiki/6/6/683.html,https://www.city.kurobe.toyama.jp/news/detail.aspx?servno=33399,https://www.city.imizu.toyama.jp/guide/svguidedtl.aspx?servno=746,https://hitorioyanavi-toyama.jp/area/kurobe/,https://www.city.kurobe.toyama.jp/info/secdtl.aspx?seccd=1013030000,https://www.pref.toyama.jp/1021/kurashi/kenkou/iryou/virus/shien.html,https://www.city.kurobe.toyama.jp/category/page.aspx?servno=5826,https://www.city.toyama.lg.jp/health/kaigo/1010522/1003813.html,https://www.city.kurobe.toyama.jp/category/page.aspx?servno=31159,https://www.city.kurobe.toyama.jp/category/page.aspx?servno=3539,https://www.city.kurobe.toyama.jp/category/page.aspx?servno=3539
富山県,砺波市,https://www.city.tonami.lg.jp/section/1592p/,https://www.pref.toyama.jp/1507/kurashi/seikatsu/sumai/tinntaigataoukyuu_notohanntou.html,https://www.pref.toyama.jp/1900/bousaianzen/noto_jishin_shien.html,https://www.city.imizu.toyama.jp/guide/svguidedtl.aspx?servno=4051,https://www.pref.toyama.jp/1900/bousaianzen/noto_jishin_shien.html,https://www.pref.toyama.jp/1900/bousaianzen/hisaisyasien20230714.html,https://www4.city.kanazawa.lg.jp/soshikikarasagasu/seikatsushienka/yokuarushitsumon/4667.html,https://www.pref.toyama.jp/1200/bousaianzen/saigai/20240102.html,https://www.soumu.go.jp/main_content/000720338.xls,https://www.city.takaoka.toyama.jp/fukushi/saigaityouikin.html,https://www.pref.toyama.jp/1900/bousaianzen/noto_jishin_shien.html,https://www.pref.ishikawa.lg.jp/kyoiku/syomu/index.html,https://sukoyaka.city.nanto.toyama.jp/support,https://www.city.imizu.toyama.jp/hp/svSecHp.aspx?seccd=1401000,https://www.city.tonami.lg.jp/service/1874p/,https://www.city.toyama.lg.jp/shisei/shisetsu/1011024/1011027/1004593.html,https://www.city.imizu.toyama.jp/guide/svguidedtl.aspx?servno=746,https://www.seiryo-u.ac.jp/u/campuslife/gakuhi.html,https://www.city.tonami.lg.jp/section/1577p/,https://www.pref.toyama.jp/1021/kurashi/kenkou/iryou/virus/shien.html,https://www.city.tonami.lg.jp/service/2239p/,https://www.city.toyama.lg.jp/health/kaigo/1010522/1003813.html,https://www.city.tonami.lg.jp/service/66624p/,https://www.city.hakusan.lg.jp/kurashi/kenpo/1006695/1006698/1001491.html,https://www.town.tsubata.lg.jp/division/zeimu/W017H0000096.html
富山県,小矢部市,https://www.pref.toyama.jp/1507/kurashi/seikatsu/sumai/kj00007289/kj00007289-002-01.html,https://www.pref.toyama.jp/1507/kurashi/seikatsu/sumai/tinntaigataoukyuu_notohanntou.html,https://www.pref.toyama.jp/1900/bousaianzen/hisaisyasien20230714.html,https://www.city.oyabe.toyama.jp/shiseijyouhou/soshiki/1003169/1004473.html,https://www.pref.toyama.jp/1900/bousaianzen/noto_jishin_shien.html,https://www.pref.toyama.jp/1900/bousaianzen/hisaisyasien20230714.html,https://www4.city.kanazawa.lg.jp/soshikikarasagasu/seikatsushienka/yokuarushitsumon/4667.html,https://www.pref.toyama.jp/1200/bousaianzen/saigai/20240102.html,https://www1.g-reiki.net/takaoka/reiki_honbun/r313RG00000068.html,https://www.city.takaoka.toyama.jp/fukushi/saigaityouikin.html,https://www.pref.toyama.jp/1900/bousaianzen/noto_jishin_shien.html,https://www.pref.ishikawa.lg.jp/kyoiku/syomu/index.html,https://www.city.oyabe.toyama.jp/shiseijyouhou/soshiki/1003169/1004473.html,https://www.city.oyabe.toyama.jp/shiseijyouhou/soshiki/1003169/1004473.html,https://www.town.uchinada.lg.jp/soshiki/fukushi/,https://www.city.toyama.lg.jp/shisei/shisetsu/1011024/1011027/1004593.html,https://hitorioyanavi-toyama.jp/area/oyabe/,https://www.seiryo-u.ac.jp/u/campuslife/gakuhi.html,https://www.city.imizu.toyama.jp/hp/svSecHp.aspx?seccd=1301000,https://www.pref.toyama.jp/1021/kurashi/kenkou/iryou/virus/shien.html,https://www.city.oyabe.toyama.jp/kurashi/1002066/1002067/1002086/1002087.html,https://www.city.toyama.lg.jp/health/kaigo/1010522/1003813.html,https://www.city.oyabe.toyama.jp/fukushikenkou/1002492/1002540/1002550/1002551.html,https://www.city.oyabe.toyama.jp/kurashi/1002236/1002243/1005440/1005446.html,https://www.town.tsubata.lg.jp/division/zeimu/W017H0000096.html
富山県,南砺市,https://www.pref.toyama.jp/1507/kurashi/seikatsu/sumai/kj00007289/kj00007289-002-01.html,https://www.pref.toyama.jp/1507/kurashi/seikatsu/sumai/tinntaigataoukyuu_notohanntou.html,https://www.pref.toyama.jp/1900/bousaianzen/hisaisyasien20230714.html,https://sukoyaka.city.nanto.toyama.jp/support,https://www.pref.toyama.jp/1900/bousaianzen/noto_jishin_shien.html,https://www.pref.toyama.jp/1900/bousaianzen/hisaisyasien20230714.html,https://www4.city.kanazawa.lg.jp/soshikikarasagasu/seikatsushienka/yokuarushitsumon/4667.html,https://www.pref.toyama.jp/1200/bousaianzen/saigai/20240102.html,https://www1.g-reiki.net/takaoka/reiki_honbun/r313RG00000068.html,https://www.city.takaoka.toyama.jp/fukushi/saigaityouikin.html,https://www.pref.toyama.jp/1900/bousaianzen/noto_jishin_shien.html,https://www.pref.ishikawa.lg.jp/kyoiku/syomu/index.html,https://sukoyaka.city.nanto.toyama.jp/support,https://www.city.imizu.toyama.jp/hp/svSecHp.aspx?seccd=1401000,https://www.town.uchinada.lg.jp/soshiki/fukushi/,https://www.city.toyama.lg.jp/shisei/shisetsu/1011024/1011027/1004593.html,https://hitorioyanavi-toyama.jp/area/nanto/,https://hitorioyanavi-toyama.jp/area/nanto/,https://www1.g-reiki.net/nanto/reiki_honbun/r066RG00000136.html,https://www.pref.toyama.jp/1021/kurashi/kenkou/iryou/virus/shien.html,https://www.city.takaoka.toyama.jp/hoken/kurashi/hoken/kenkohoken/zei/keigen.html,https://www.city.toyama.lg.jp/health/kaigo/1010522/1003813.html,https://www.city.takaoka.toyama.jp/hoken/kurashi/hoken/koresha/hokenryo.html,https://www.city.kaga.ishikawa.jp/soshiki/shiminkenko/hoken_nenkin/1/1/1287.html,https://www.city.kaga.ishikawa.jp/soshiki/shiminkenko/hoken_nenkin/1/1/1287.html
富山県,射水市,https://www.city.imizu.toyama.jp/hp/svSecHp.aspx?seccd=1606000,https://www.pref.toyama.jp/1507/kurashi/seikatsu/sumai/tinntaigataoukyuu_notohanntou.html,https://www.city.imizu.toyama.jp/event-topics/svTopiDtl.aspx?servno=26643,https://www.city.imizu.toyama.jp/guide/svguidedtl.aspx?servno=4051,https://www.pref.toyama.jp/1900/bousaianzen/noto_jishin_shien.html,https://www.pref.toyama.jp/1900/bousaianzen/hisaisyasien20230714.html,https://www1.g-reiki.net/imizu/reiki_honbun/r311RG00000072.html,https://www.pref.toyama.jp/1200/bousaianzen/saigai/20240102.html,https://www.city.imizu.toyama.jp/guide/svguidedtl.aspx?servno=27192,https://www.city.takaoka.toyama.jp/fukushi/saigaityouikin.html,https://www.pref.toyama.jp/1900/bousaianzen/noto_jishin_shien.html,https://www.city.toyama.lg.jp/business/koyo/1010642/1010644/1005612.html,https://www.city.imizu.toyama.jp/hp/svSecHp.aspx?seccd=1401000,https://www.city.imizu.toyama.jp/hp/svSecHp.aspx?seccd=1401000,https://www.city.imizu.toyama.jp/download/svDLList.aspx,https://www.city.imizu.toyama.jp/download/svDLList.aspx,https://www.city.imizu.toyama.jp/guide/svguidedtl.aspx?servno=746,https://www.u-toyama.ac.jp/studentsupport/financial-support/scholarship/,https://www.city.imizu.toyama.jp/hp/svSecHp.aspx?seccd=1301000,https://www.pref.toyama.jp/1021/kurashi/kenkou/iryou/virus/shien.html,https://www.city.imizu.toyama.jp/guide/svGuideDtl.aspx?servno=3515,https://www.city.toyama.lg.jp/health/kaigo/1010522/1003813.html,https://www.city.imizu.toyama.jp/guide/svGuideDtl.aspx?servno=4904,https://www1.g-reiki.net/imizu/reiki_honbun/r311RG00000072.html,https://www.city.kurobe.toyama.jp/category/page.aspx?servno=3767
