department,support
都市整備課,公営住宅
都市整備課,賃貸型応急住宅
地域福祉課・県,災害見舞金
子育て支援課・県,児童扶養手当の特例
地域福祉課,被災者生活再建支援制度
地域福祉課,災害援護資金貸付
地域福祉課,生活福祉資金（緊急小口資金・災害援護資金）の貸付
都市整備課,住宅の被害の拡大を防止するための緊急の修理
総合事務組合,母子父子寡婦福祉資金の住宅資金貸付
障がい者支援課,災害障害見舞金
子育て支援課・県,教科書等の無償給与
障がい者支援課,特別支援学校等への就学奨励事業
障がい者支援課,特別児童扶養手当・障害児福祉手当の特例
介護保険課,特別障害者手当の特例
障がい者支援課,福祉用具の再貸与・再購入
学校教育課,障がい者の福祉用具の再給付
各学校,小・中学生の就学援助措置
各学校・日本学生支援機構,大学等授業料等減免措置
課税課,住民税固定資産税の減免
税務署,国税の減免・猶予
保険年金課,国民健康保険税の減免
介護保険課,介護保険料の減免・猶予
保険年金課,後期高齢者医療保険料の減免
保険年金課,後期高齢者医療の一部負担金の減免・徴収猶予
保険年金課,入院時の一部負担金の免除及び徴収猶予
